Population	F115	FCA441	FCA506	FCA718	FCA006	FCA008	FCA082	FCA0097	FCA105	FCA229	FCA1023
Estonia	224234	135139	194194	214230	176180	135135	233245	142144	187189	164164	223225
Estonia	236244	135143	194202	214214	176180	135135	243243	142144	187189	166166	223225
Estonia	224224	127139	200200	214226	176180	133135	239243	140142	191193	166168	223225
Estonia	226226	139143	178200	214218	176176	127127	241243	136138	189191	158168	225225
Estonia	224244	131135	190190	214226	180180	127137	233245	136138	191193	160164	223225
Estonia	224232	135139	194202	218230	176176	133137	233233	144144	187187	164164	229229
Estonia	228240	139139	194200	218230	176178	133135	233233	142142	187189	162164	223223
Estonia	232240	135135	178202	218226	176180	135137	239243	142144	189189	164166	227229
Estonia	224240	139139	194200	226226	180180	133135	233241	138142	189191	164166	225229
Estonia	226230	135135	200202	214214	176180	133135	243243	138140	189189	158164	225229
Estonia	236236	135135	178194	226226	178180	133137	233243	138140	187189	162166	225229
Estonia	224240	135135	194198	218226	176180	127133	233243	142144	187189	158164	223225
Estonia	230248	135139	194200	214226	176176	135135	233243	142142	189189	164164	223225
Estonia	224236	135139	200202	214230	176176	133135	233245	140144	189189	164164	225227
Estonia	224248	139139	194200	214222	176178	133135	233243	138142	189189	162164	223225
Estonia	224224	127139	194202	222222	180180	135135	233243	140142	187189	164168	225227
Estonia	224240	131135	202202	226234	176180	133135	239239	142144	187189	158164	225229
Estonia	224236	135139	200200	226226	178180	133133	233233	138138	187189	158160	223229
Estonia	224224	135139	200200	226230	176180	135135	233245	138138	187189	162166	225229
Estonia	224232	131131	194194	214222	176180	133133	233245	138140	187189	158164	223225
Estonia	224240	135135	200200	226230	176176	135135	233233	138138	189189	164164	225229
Estonia	224224	135135	178194	230230	176180	133135	233233	138138	187189	164164	225229
Estonia	224230	135139	194200	214218	176176	127135	233233	142144	187189	164164	225225
Estonia	224240	135139	194202	230230	176180	135137	233243	140142	189193	164166	225225
Estonia	228232	135139	194200	226230	176180	135135	233243	138142	187187	164164	225229
Estonia	224232	135139	194200	226230	176180	135135	233245	142144	187189	164164	223225
Estonia	224224	135139	194200	214226	176180	133135	239245	138140	189189	158164	225225
