Snail	Length 1	Length 2	Length 3
1	34.4	34.4	34.8
2	33.3	33.3	33.4
3	34.8	34.5	34.3
4	32.7	32.7	32.7
5	33.7	33.3	33.7
6	32.3	32.4	32.3
7	34.7	34.8	34.7
8	33.2	33.1	33.2
9	34.4	34.2	34.4
10	34.7	34.7	34.5
11	33.9	33.6	33.9
12	33.4	33.6	33.8
13	32.3	32.4	32.3
14	32.3	32.7	32.6
15	33.0	33.4	33.5
16	34.9	34.3	34.9
17	35.7	35.7	35.8
18	35.5	35.4	35.7
19	35.3	35.3	35.8
20	35.6	35.4	35.6
21	32.3	32.6	32.3
22	34.7	34.3	34.7
23	33.2	33.2	33.8
24	34.4	34.3	34.4
25	34.7	34.7	34.6
26	33.9	33.5	33.7
27	33.4	33.4	33.7
28	32.3	32.5	32.3
29	33.4	33.8	33.2
30	33.0	33.1	33.4
