Family	Parent 1	Parent 2	Offspring	Offspring	Offspring	Offspring
1	83.6	86.7	72.6	83.2	84.8	85.4
2	88.6	82.2	72.4	84.8	86.3	88.4
3	81.8	77.1	80.4	81.6	79.4	83.4
4	78.5	76.6	78.2	77.6	82.8	81.7
5	80.7	85.8	72.2	93.3	85.5	84.9
6	78.3	80.3	81.4	80.4	79.3	79.7
7	86.7	74.8	87.7	86.8	87.7	84.4
8	87.2	81.3	76.6	85.3	88.5	78.2
9	76.4	72.8	78.5	75.5	74.3	72.3
10	75.7	77.0	78.8	84.8	75.2	77.7
11	83.9	88.4	83.9	76.2	82.1	77.6
12	85.4	73.8	75.3	75.5	83.8	76.5
13	80.3	86.6	83.7	86.3	82.9	85.8
14	83.4	88.8	86.4	77.4	85.4	86.8
15	87.0	84.1	88.2	77.8	84.3	85.4
16	79.9	80.4	70.1	79.6	79.8	82.5
17	84.7	82.7	80.6	83.3	85.5	82.3
18	84.5	77.5	82.4	83.8	79.2	79.5
19	79.3	73.6	75.6	84.2	75.3	77.5
20	84.6	86.9	83.3	75.3	86.2	84.6
