Bird	Length 1	Length 2	Length 3
1	24.3	24.4	24.5
2	23.2	23.4	23.4
3	24.8	24.8	24.7
4	25.2	25.3	25.2
5	22.7	22.8	22.8
6	22.9	22.9	22.9
7	23.3	23.2	23.3
8	24.2	24.2	24.3
9	23.9	23.8	23.9
10	22.8	22.9	22.9
11	23.2	23.3	23.3
12	25.3	25.3	25.3
13	24.9	24.8	24.9
14	24.5	24.5	24.6
15	24.2	24.3	24.3
16	23.2	23.3	23.2
17	22.4	22.5	22.4
18	23.2	23.3	23.3
19	24.3	24.3	24.2
20	25.6	25.6	25.7
21	25.4	25.5	25.5
22	23.3	23.3	23.3
23	23.6	23.5	23.5
24	25.2	25.2	25.2
25	23.5	23.5	23.6
26	22.2	22.3	22.3
27	23.8	23.9	23.9
28	22.9	22.8	22.9
29	22.8	22.7	22.6
30	23.5	23.6	23.4
